x_value,total_1,total_2
0,1000,1000
1,1005,1003
2,1006,1002
3,1009,998
4,1014,1004
5,1018,1000
6,1012,999
7,1015,998
8,1010,1002
9,1014,1001
10,1020,1001
11,1020,999
12,1015,994
13,1011,993
14,1008,989
15,1014,994
16,1011,998
17,1014,995
18,1013,999
19,1011,1005
20,1013,1004
21,1015,1000
22,1011,1001
23,1016,1004
24,1024,999
25,1027,1000
26,1031,997
27,1026,999
28,1022,999
29,1020,999
30,1018,995
31,1013,1000
32,1017,996
33,1016,1002
34,1016,1007
35,1021,1007
36,1019,1004
37,1023,1008
38,1025,1010
39,1033,1010
40,1037,1016
41,1035,1022
42,1031,1022
43,1028,1020
44,1028,1025
45,1026,1028
46,1029,1034
47,1028,1031
48,1022,1030
49,1017,1027
50,1013,1024
51,1014,1028
52,1015,1025
53,1018,1030
54,1020,1026
55,1015,1028
56,1021,1029
57,1022,1024
58,1019,1029
59,1014,1028
60,1022,1033
61,1027,1032
